Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
121,em,1.25,0.56771266,0.13467792,18.662344
115,ma,0.0,11.392944,0.08360158,32.173065
220,em,1.25,9.3185215,0.0942642,31.477169
222,em,1.25,2.6390967,0.08266952,23.969728
207,em,1.25,3.3753273,0.17153731,20.726463
105,bw,5.0,12.98611,0.047384348,34.82564
234,em,5.0,9.736246,0.05276351,31.599272
202,em,0.0,10.183186,0.078394406,27.6938
118,bw,5.0,2.4564815,0.1680593,25.08866
234,bw,1.25,14.58865,0.0464145,32.699665
201,em,5.0,3.4847245,0.0625779,28.84382
118,bw,1.25,5.886623,0.17435198,24.7688
203,ma,0.0,10.180507,0.13351795,29.207668
223,ma,0.0,15.230692,0.06816915,32.37209
205,ma,5.0,9.974435,0.032545164,33.951283
231,bw,1.25,8.639461,0.07650235,30.369917
113,bw,5.0,3.719895,0.13994315,26.097769
105,ma,1.25,13.447768,0.06504702,31.53716
232,bw,1.25,7.4313827,0.050331097,28.626165
205,ma,1.25,12.362464,0.03790993,32.58931
108,ma,0.0,5.9220223,0.091196015,24.782063
103,em,1.25,12.909834,0.059256442,32.521046
207,bw,0.0,5.2373743,0.1600475,21.333527
122,bw,1.25,19.25277,0.033877358,35.90148
212,ma,0.0,9.8176,0.096613206,27.332098
113,ma,5.0,3.7257476,0.13993844,26.10072
107,em,5.0,2.657295,0.3413696,23.415897
228,bw,5.0,-0.000782458,0.13459651,24.911385
109,ma,1.25,10.221624,0.11913832,26.992205
100,bw,0.0,9.711975,0.06035972,29.209215
213,bw,0.0,18.409424,0.07376296,34.852432
233,bw,0.0,11.246548,0.14250877,29.382832
116,em,5.0,9.850503,0.096360095,33.430294
233,em,1.25,7.4719114,0.18996845,26.866558
209,em,1.25,8.557333,0.076177984,29.182896
210,em,1.25,10.379901,0.063811526,28.928822
123,ma,1.25,12.438246,0.056422744,34.84648
214,ma,0.0,10.7150545,0.1303073,29.358646
118,bw,0.0,6.9913273,0.17728254,24.623505
210,bw,5.0,11.578711,0.03673182,33.86861
200,bw,5.0,5.5902677,0.102065966,30.25007
106,em,1.25,8.522998,0.11129509,28.414942
116,bw,0.0,16.849943,0.07681193,35.43028
111,ma,0.0,11.814865,0.0474348,29.476892
222,em,5.0,-0.7582354,0.07942603,24.322395
228,em,1.25,2.7840002,0.14993548,23.94115
210,ma,5.0,10.266542,0.042438198,32.55851
124,ma,0.0,11.564746,0.098987505,29.33185
221,bw,0.0,12.693599,0.06511495,30.546688
219,bw,5.0,13.769666,0.050944153,36.325706
220,em,5.0,6.678528,0.082938775,32.587173
124,ma,5.0,7.23802,0.09164723,30.005129
212,em,0.0,8.088527,0.119109154,25.600048
