Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.8440,10178.000000,-0.766212
0.8460,10107.000000,-0.790314
0.8480,9223.000000,-0.810199
0.8500,9173.000000,-0.820181
0.8520,9131.000000,-0.818568
0.8540,8001.000000,-0.808834
0.8560,7969.000000,-0.797356
0.8580,7907.000000,-0.788111
0.8600,7857.000000,-0.780664
0.8620,7822.000000,-0.770803
0.8640,7760.000000,-0.752569
0.8660,7694.000000,-0.722583
0.8680,6824.000000,-0.682056
0.8700,6789.000000,-0.635173
0.8720,6743.000000,-0.587071
0.8740,6697.000000,-0.541205
0.8760,6658.000000,-0.497651
0.8780,6633.000000,-0.454602
0.8800,6617.000000,-0.410322
0.8820,6586.000000,-0.364516
0.8840,6523.000000,-0.319666
0.8860,6478.000000,-0.279864
0.8880,6451.000000,-0.248120
0.8900,6371.000000,-0.225456
0.8920,7679.000000,-0.210468
0.8940,7744.000000,-0.199309
0.8960,7825.000000,-0.188271
0.8980,7904.000000,-0.175869
0.9000,7981.000000,-0.162040
0.9020,9031.000000,-0.147669
0.9040,9059.000000,-0.134506
0.9060,9103.000000,-0.123758
0.9080,9639.000000,-0.115448
0.9100,9641.000000,-0.108927
0.9120,9647.000000,-0.103085
0.9140,9663.000000,-0.097000
0.9160,9674.000000,-0.090647
0.9180,9693.000000,-0.084607
0.9200,9702.000000,-0.079679
0.9220,9712.000000,-0.076612
0.9240,9716.000000,-0.075777
0.9260,9749.000000,-0.077110
0.9280,9768.000000,-0.079798
0.9300,9768.000000,-0.082112
0.9320,9756.000000,-0.082398
0.9340,9760.000000,-0.079968
0.9360,9661.000000,-0.074912
0.9380,9679.000000,-0.067837
0.9400,9671.000000,-0.059679
0.9420,9636.000000,-0.051327
0.9440,9640.000000,-0.043363
0.9460,9627.000000,-0.035971
0.9480,9598.000000,-0.029092
0.9500,9397.000000,-0.022715
0.9520,9364.000000,-0.016859
0.9540,9367.000000,-0.011510
0.9560,9364.000000,-0.006731
0.9580,9343.000000,-0.002467
0.9600,9343.000000,0.001656
0.9620,9339.000000,0.006119
0.9640,9331.000000,0.011294
0.9660,9328.000000,0.017241
0.9680,9336.000000,0.023611
0.9700,9310.000000,0.029941
0.9720,9293.000000,0.035868
0.9740,9286.000000,0.041279
0.9760,9274.000000,0.046518
0.9780,9241.000000,0.051995
0.9800,9228.000000,0.057796
0.9820,9218.000000,0.063872
0.9840,9206.000000,0.069946
0.9860,9199.000000,0.075463
