Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
20.0720,-2281.000000,-0.020081
20.0740,-2298.000000,-0.019213
20.0760,-2308.000000,-0.018502
20.0780,-2291.000000,-0.018088
20.0800,-2281.000000,-0.017151
20.0820,-2296.000000,-0.016106
20.0840,-2301.000000,-0.015753
20.0860,-2299.000000,-0.015447
20.0880,-2277.000000,-0.015502
20.0900,-2261.000000,-0.016191
20.0920,-2234.000000,-0.016227
20.0940,-2224.000000,-0.016198
20.0960,-2222.000000,-0.016763
20.0980,-2225.000000,-0.016717
20.1000,-2201.000000,-0.016768
20.1020,-2177.000000,-0.017308
20.1040,-2177.000000,-0.016839
20.1060,-2107.000000,-0.016324
20.1080,-2082.000000,-0.016911
20.1100,-2053.000000,-0.017461
20.1120,-2021.000000,-0.017673
20.1140,-2001.000000,-0.017659
20.1160,-1961.000000,-0.017169
20.1180,-1950.000000,-0.016696
20.1200,-1941.000000,-0.016621
20.1220,-1932.000000,-0.016868
20.1240,-1930.000000,-0.016744
20.1260,-1919.000000,-0.015682
20.1280,-1931.000000,-0.014601
20.1300,-1918.000000,-0.014110
20.1320,-1943.000000,-0.013963
20.1340,-1947.000000,-0.014064
20.1360,-1955.000000,-0.013780
20.1380,-1927.000000,-0.013354
20.1400,-1912.000000,-0.013501
20.1420,-1892.000000,-0.013415
20.1440,-1881.000000,-0.013465
20.1460,-1901.000000,-0.014411
20.1480,-1891.000000,-0.014663
20.1500,-1878.000000,-0.014266
20.1520,-1872.000000,-0.014981
20.1540,-1875.000000,-0.015987
20.1560,-1873.000000,-0.016036
20.1580,-1870.000000,-0.015739
20.1600,-1872.000000,-0.015482
20.1620,-1869.000000,-0.014926
20.1640,-1850.000000,-0.014494
20.1660,-1848.000000,-0.014766
20.1680,-1848.000000,-0.014664
20.1700,-1832.000000,-0.013758
20.1720,-1839.000000,-0.013628
20.1740,-1839.000000,-0.013997
20.1760,-1829.000000,-0.013885
20.1780,-1814.000000,-0.014137
20.1800,-1802.000000,-0.014251
20.1820,-1796.000000,-0.013891
20.1840,-1805.000000,-0.014211
20.1860,-1796.000000,-0.014247
20.1880,-1782.000000,-0.013668
20.1900,-1802.000000,-0.013671
20.1920,-1788.000000,-0.013172
20.1940,-1781.000000,-0.012261
20.1960,-1787.000000,-0.012596
20.1980,-1808.000000,-0.013240
20.2000,-1817.000000,-0.013413
20.2020,-1829.000000,-0.013540
20.2040,-1808.000000,-0.013323
20.2060,-1789.000000,-0.013036
20.2080,-1794.000000,-0.013037
20.2100,-1784.000000,-0.013138
20.2120,-1788.000000,-0.013120
20.2140,-1786.000000,-0.012608
20.2160,-1782.000000,-0.012084
20.2180,-1777.000000,-0.011589
20.2200,-1766.000000,-0.010540
20.2220,-1742.000000,-0.009871
20.2240,-1736.000000,-0.009433
20.2260,-1739.000000,-0.008457
20.2280,-1742.000000,-0.008074
20.2300,-1730.000000,-0.007574
20.2320,-1702.000000,-0.006348
20.2340,-1699.000000,-0.006509
20.2360,-1686.000000,-0.007309
20.2380,-1643.000000,-0.007317
20.2400,-1632.000000,-0.007874
20.2420,-1601.000000,-0.008429
20.2440,-1571.000000,-0.008333
20.2460,-1567.000000,-0.008991
20.2480,-1556.000000,-0.009771
20.2500,-1539.000000,-0.009239
20.2520,-1530.000000,-0.007926
20.2540,-1515.000000,-0.007100
20.2560,-1487.000000,-0.006768
20.2580,-1482.000000,-0.005809
20.2600,-1493.000000,-0.004789
20.2620,-1491.000000,-0.004131
20.2640,-1482.000000,-0.002686
20.2660,-1463.000000,-0.001930
20.2680,-1449.000000,-0.002418
