Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.9020,-3252.000000,0.108237
0.9040,-3247.000000,0.108898
0.9060,-3241.000000,0.106490
0.9080,-3290.000000,0.103984
0.9100,-3246.000000,0.101233
0.9120,-3189.000000,0.103214
0.9140,-3152.000000,0.105982
0.9160,-3118.000000,0.103527
0.9180,-3118.000000,0.100769
0.9200,-3099.000000,0.098249
0.9220,-3050.000000,0.096898
0.9240,-3031.000000,0.099410
0.9260,-3065.000000,0.098620
0.9280,-3042.000000,0.094721
0.9300,-2969.000000,0.093025
0.9320,-2922.000000,0.090104
0.9340,-2880.000000,0.088795
0.9360,-2853.000000,0.090332
0.9380,-2836.000000,0.088005
0.9400,-2801.000000,0.085754
0.9420,-2883.000000,0.085817
0.9440,-2891.000000,0.083901
0.9460,-2812.000000,0.084557
0.9480,-2780.000000,0.087929
0.9500,-2790.000000,0.088642
0.9520,-2726.000000,0.087799
0.9540,-2716.000000,0.085525
0.9560,-2676.000000,0.083835
0.9580,-2637.000000,0.084947
0.9600,-2599.000000,0.083414
0.9620,-2639.000000,0.078911
0.9640,-2683.000000,0.075236
0.9660,-2655.000000,0.072790
0.9680,-2646.000000,0.073438
0.9700,-2682.000000,0.074133
0.9720,-2609.000000,0.071840
0.9740,-2594.000000,0.069899
0.9760,-2689.000000,0.066342
0.9780,-2635.000000,0.062821
0.9800,-2549.000000,0.064267
0.9820,-2588.000000,0.062722
0.9840,-2612.000000,0.056221
0.9860,-2620.000000,0.051418
0.9880,-2650.000000,0.045766
0.9900,-2788.000000,0.041709
0.9920,-2829.000000,0.042320
0.9940,-2848.000000,0.039744
0.9960,-2832.000000,0.035444
0.9980,-2857.000000,0.034211
1.0000,-2932.000000,0.032980
1.0020,-2973.000000,0.033827
1.0040,-3024.000000,0.035198
1.0060,-3022.000000,0.031925
1.0080,-3082.000000,0.029913
1.0100,-3071.000000,0.031521
1.0120,-2981.000000,0.031232
1.0140,-3007.000000,0.028484
1.0160,-3367.000000,0.023172
1.0180,-3369.000000,0.015319
1.0200,-3407.000000,0.009394
1.0220,-3414.000000,0.008070
1.0240,-3491.000000,0.006813
1.0260,-3549.000000,-0.000128
1.0280,-3555.000000,-0.007668
1.0300,-3556.000000,-0.011305
1.0320,-3562.000000,-0.018582
1.0340,-3576.000000,-0.027191
1.0360,-3647.000000,-0.029570
1.0380,-3722.000000,-0.033013
1.0400,-3709.000000,-0.039325
1.0420,-3688.000000,-0.045098
1.0440,-3844.000000,-0.055534
1.0460,-3886.000000,-0.064972
1.0480,-3870.000000,-0.066797
1.0500,-3845.000000,-0.069704
1.0520,-3779.000000,-0.075910
1.0540,-3817.000000,-0.082813
1.0560,-3920.000000,-0.090046
1.0580,-3909.000000,-0.091031
1.0600,-3966.000000,-0.088302
1.0620,-4029.000000,-0.090800
1.0640,-4111.000000,-0.094605
1.0660,-4090.000000,-0.095004
1.0680,-4072.000000,-0.093299
1.0700,-4067.000000,-0.092228
1.0720,-4623.000000,-0.094990
1.0740,-5164.000000,-0.097840
1.0760,-5170.000000,-0.099575
1.0780,-5201.000000,-0.104964
