Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
17.9500,-7266.000000,-0.704518
17.9520,-7262.000000,-0.696340
17.9540,-7239.000000,-0.690833
17.9560,-7222.000000,-0.690333
17.9580,-7209.000000,-0.690432
17.9600,-7179.000000,-0.691761
17.9620,-7142.000000,-0.693560
17.9640,-7105.000000,-0.692677
17.9660,-7064.000000,-0.688224
17.9680,-7031.000000,-0.677808
17.9700,-6966.000000,-0.665373
17.9720,-6907.000000,-0.655954
17.9740,-6845.000000,-0.641392
17.9760,-6784.000000,-0.620370
17.9780,-6730.000000,-0.604529
17.9800,-6656.000000,-0.594696
17.9820,-6596.000000,-0.583968
17.9840,-6507.000000,-0.569526
17.9860,-6439.000000,-0.551883
17.9880,-6353.000000,-0.534593
17.9900,-6272.000000,-0.518777
17.9920,-6190.000000,-0.504232
17.9940,-6096.000000,-0.489429
17.9960,-6014.000000,-0.469081
17.9980,-5924.000000,-0.450592
18.0000,-5845.000000,-0.445561
18.0020,-5746.000000,-0.445383
18.0040,-5649.000000,-0.439851
18.0060,-5550.000000,-0.427837
18.0080,-5463.000000,-0.409051
18.0100,-5355.000000,-0.392734
18.0120,-5244.000000,-0.382481
18.0140,-5155.000000,-0.368149
18.0160,-5040.000000,-0.350214
18.0180,-4927.000000,-0.331943
18.0200,-4823.000000,-0.312205
18.0220,-4716.000000,-0.297487
18.0240,-4620.000000,-0.286473
18.0260,-4505.000000,-0.270810
18.0280,-4397.000000,-0.249710
18.0300,-4301.000000,-0.222807
18.0320,-4197.000000,-0.197315
18.0340,-4092.000000,-0.182038
18.0360,-3984.000000,-0.168346
18.0380,-3887.000000,-0.150353
18.0400,-3774.000000,-0.132975
18.0420,-3664.000000,-0.119573
18.0440,-3569.000000,-0.113992
18.0460,-3469.000000,-0.108944
18.0480,-3362.000000,-0.092321
18.0500,-3260.000000,-0.068289
18.0520,-3173.000000,-0.042578
18.0540,-3076.000000,-0.020188
18.0560,-2965.000000,-0.006787
18.0580,-2887.000000,0.009010
18.0600,-2784.000000,0.034290
18.0620,-2691.000000,0.062687
18.0640,-2600.000000,0.094786
18.0660,-2518.000000,0.120183
18.0680,-2419.000000,0.126682
18.0700,-2327.000000,0.130587
18.0720,-2244.000000,0.147044
18.0740,-2173.000000,0.173839
18.0760,-2092.000000,0.202521
18.0780,-1994.000000,0.215811
18.0800,-1929.000000,0.213491
18.0820,-1856.000000,0.218228
18.0840,-1776.000000,0.236583
18.0860,-1696.000000,0.256441
18.0880,-1636.000000,0.266270
18.0900,-1583.000000,0.265222
18.0920,-1520.000000,0.267423
18.0940,-1454.000000,0.281863
18.0960,-1139.000000,0.302469
18.0980,-1102.000000,0.318405
18.1000,-1047.000000,0.322059
18.1020,-972.000000,0.324891
